t,omega_r,omega_phi,omega_z
0.20000608908800002,34.297826705679284,21.94710717319569,117.99069874593866
0.40001511161950004,-34.013645097598854,-24.080244305916807,-119.53078919201118
0.6000153338205001,35.15317214703114,41.32467689113645,122.61778460418452
0.8000155560215,-37.98669700585006,30.88106131375494,-135.00826505591448
1.000014800408,-21.276011837948218,25.622787256292696,91.59015184113314
1.200015022609,-38.995543892209156,-48.409481051320085,33.125346763059085
1.40001524481,-38.05595506881582,31.20740890940023,42.54027712985278
1.600005688866,-25.462607303294504,-29.610340531203377,-49.76492520584996
1.800005911067,36.00179351196894,-25.25533345637119,38.45871535767475
2.000006133268,29.085337901965957,21.869092994005086,53.38389779285751
2.1999965773240002,-40.97950787266697,-40.873876702496815,54.861577442635195
2.3999967995250002,26.01776584988947,38.19991233209646,45.191716474505625
2.5999960439115006,33.181989506974105,-21.116432315645852,48.026146775368744
2.8000060442575,33.94173773338653,-38.106078464949675,-46.681008026022766
3.0000062664585,25.775461587851794,28.21026017792269,51.38818875458867
3.2000162668045,44.608918126674894,23.999025910974268,-44.42141181193524
3.4000164890054996,-26.88420238150067,51.7475023404391,53.18264244629074
3.6000167112065,-24.272098541423034,-35.99541177622085,-52.44912467156084
3.8000267115525004,33.278408581529874,28.96298006783202,-46.12927849088301
4.0000269337535,-30.16616653205773,39.75389556412685,-48.12073545516809
4.2000271559545,-7.5571992417039695,31.99275520101591,-52.18807531426509
4.4000371563005,44.038824213597366,-28.673243958853902,45.229235578719
4.6000373785015,-25.245334685289322,26.769156335657783,41.85546691689481
4.8000376007025,-33.83964696526388,19.850142483450128,42.5511383238334
5.0000378229035,-29.87134265343758,-40.60809885129491,43.03703673542718
5.200052712321999,-29.28616864994703,28.955496221514622,37.16713790351028
