t,omega_r,omega_phi,omega_z
0.20000608908800002,27.960669315252147,41.58535917220854,-92.55126149928412
0.40001511161950004,33.38171924327145,-44.53289925633753,-91.66994214494417
0.6000153338205001,43.30689073382442,40.99562204552868,85.63311537904015
0.8000155560215,23.758364637965997,-38.990848706087164,-103.97816128889102
1.000014800408,-37.043693756037555,-41.92267956260187,-126.10098604982858
1.200015022609,39.245020215444214,40.850139960049205,-130.31297245461855
1.40001524481,-36.55847023676611,53.09513794313537,-115.75679191542301
1.600005688866,-27.240600332185096,-39.41918443901022,-133.5032093824111
1.800005911067,-39.000779362115125,-74.74786568486495,71.74120221662798
2.000006133268,-51.56090998590071,74.73565789397725,66.34593262776684
2.1999965773240002,83.10795083793565,-61.028769071879225,-117.44015891997981
2.3999967995250002,-83.81006572757278,-52.70712223831657,-106.14085486818684
2.5999960439115006,-54.38713162882431,83.72192036866534,-77.15904521931964
2.8000060442575,-37.35895395256598,45.85742677079928,67.83367079028437
3.0000062664585,46.54674521177786,-89.2459807341713,78.42453375903003
3.2000162668045,-38.80734267098008,-70.1040178346453,-65.3933241648743
3.4000164890054996,-42.57216491605152,59.865708794066066,61.600531181566765
3.6000167112065,-44.868164844989195,-75.90287283848113,67.71141023511382
3.8000267115525004,-45.05059714033959,-63.40275570944405,-57.50879141172021
4.0000269337535,33.8804938618166,61.471835337595564,55.40717969418452
4.2000271559545,-51.40022352806605,74.84697800685092,-66.17446931329974
4.4000371563005,-56.24223782744559,-74.3653713118606,-64.93657298275956
4.6000373785015,33.29493708440708,61.323676497376766,58.54231488266281
4.8000376007025,-1.352132571241782e-06,50.13763909159226,-55.85447526513363
5.0000378229035,-37.11407802685136,50.81494294752321,-47.60221256086879
5.200052712321999,-17.2124656388134,-43.02770771177586,-53.17205190277656
