t,omega_r,omega_phi,omega_z
0.20000608908800002,46.378085144043915,66.56091980941935,161.54989271353972
0.7000105558484999,78.44609573447033,99.25308464430083,207.37621623986016
1.200015022609,-33.54381336072103,-57.76320323022572,-133.97954604090282
1.7000057999665001,16.594180569169126,66.9580848198226,-144.00077876232368
2.1999965773240002,-27.220801813226576,56.235686911939936,-115.6172320173857
2.700005933157,30.112457334540107,-47.375364257919635,-106.0893352041232
3.2000162668045,51.67919484249468,84.78518022105017,141.01055382337208
3.700026600452,43.15102664390445,66.85230154634546,-61.82902209221467
4.2000271559545,-35.43395617495167,51.83818397179934,52.43246939269189
4.700037489602,-47.67641137074735,75.65118771454465,61.55581047732627
