t,omega_r,omega_phi,omega_z
0.20000608908800002,-66.8215002213258,66.3821767468429,161.54989271353972
0.7000105558484999,99.62345770430878,-77.87868220042301,207.37621623986016
1.200015022609,58.421972796445836,-57.229659525800756,-133.97954604090282
1.7000057999665001,-66.42117119702027,-70.6474830640381,-144.00077876232368
2.1999965773240002,56.005703275513795,55.90129817354929,-115.6172320173857
2.700005933157,-46.38333390765732,48.104249026969114,-106.0893352041232
3.2000162668045,84.50608897249225,83.86103473909662,141.01055382337208
3.700026600452,68.25854541550453,65.7660463803825,-61.82902209221467
4.2000271559545,53.40174230795479,50.301327096237,52.43246939269189
4.700037489602,75.19342391792941,-75.39265040190375,61.55581047732627
