t,omega_r,omega_phi,omega_z
0.1000059779875,88.76855253573117,121.78722944599333,275.6004009650108
0.30000131111600004,86.77188090504882,120.24925413718883,-275.15894710162434
0.5000103336475,-90.85299436196672,117.59114443493937,-273.90691872603213
0.7000105558484999,-100.42531554116776,-81.69364017648783,-259.9171258157626
0.900009800235,-67.287795349339,-48.62341482895822,-194.58496458598646
1.1000100224359999,-53.348587124073404,31.02337803452187,-171.56775587871704
1.3000151337094998,52.7994494389007,39.42624598724565,156.2034487270858
1.5000153559105,-60.88770117214335,-41.00459060795025,-143.2249361946786
1.7000057999665001,69.8979670393235,24.757039911639055,96.73374443775528
1.9000060221675001,71.2616523883999,-37.99959154377478,95.30061980310273
2.1000062443685,65.17788172429923,-38.98804182635343,176.891534106108
2.2999966884245,-53.10431713933743,-76.23182929141457,-141.49113709807432
2.4999969106255002,40.54448633187642,20.513726612868542,71.0295526570214
2.700005933157,-45.062121813667304,-64.52935234209386,-130.42347294708424
2.900006155358,48.14264131573067,69.30927822726464,67.88018742260768
3.1000161557039996,39.79944673628703,19.16907341496332,62.686371957735936
3.300016377905,39.869969025344304,19.001153627526193,57.86975878280684
3.5000166001059996,47.173379699901794,-23.368086891590593,67.51162726528833
3.700026600452,-49.4745542421735,-29.99467534388269,-73.52668181625447
3.9000268226530004,-49.07480874151209,-23.532696279262836,65.1660756223463
4.100027044854,49.830810765216874,23.965674361039248,-68.35709674173062
4.300027267055,48.21403775641491,-29.88221912982202,66.83167785424428
4.500037267401,-49.22132203939786,21.127124689336902,-64.43982723327787
4.700037489602,47.658632670312606,-27.40909275833897,62.80576198810484
4.900037711803,49.48565977918008,-24.57542759007731,-67.51505580727746
